0 6000 512 0 0 512 0 0 1 0
1 6000 512 52 0 512 0 0 1 0
2 5999 512 105 0 512 0 0 1 0
3 5998 512 157 0 512 0 0 1 0
4 5996 512 209 0 512 0 0 1 0
5 5994 512 262 0 512 0 0 1 0
6 5992 512 314 0 512 0 0 1 0
7 5989 512 366 0 512 0 0 1 0
8 5985 512 419 0 512 0 0 1 0
9 5982 512 471 0 512 0 0 1 0
10 5977 512 523 0 512 0 0 1 0
11 5972 512 575 0 512 0 0 1 0
12 5967 512 627 0 512 0 0 1 0
13 5961 512 679 0 512 0 0 1 0
14 5955 512 731 0 512 0 0 1 0
15 5949 512 783 0 512 0 0 1 0
16 5942 512 835 0 512 0 0 1 0
17 5934 512 887 0 512 0 0 1 0
18 5926 512 939 0 512 0 0 1 0
19 5918 512 990 0 512 0 0 1 0
20 5909 512 1042 0 512 0 0 1 0
21 5900 512 1093 0 512 0 0 1 0
22 5890 512 1145 0 512 0 0 1 0
23 5880 512 1196 0 512 0 0 1 0
24 5869 512 1247 0 512 0 0 1 0
25 5858 512 1299 0 512 0 0 1 0
26 5846 512 1350 0 512 0 0 1 0
27 5834 512 1401 0 512 0 0 1 0
28 5822 512 1452 0 512 0 0 1 0
29 5809 512 1502 0 512 0 0 1 0
30 5796 512 1553 0 512 0 0 1 0
31 5782 512 1603 0 512 0 0 1 0
32 5768 512 1654 0 512 0 0 1 0
33 5753 512 1704 0 512 0 0 1 0
34 5738 512 1754 0 512 0 0 1 0
35 5722 512 1804 0 512 0 0 1 0
36 5706 512 1854 0 512 0 0 1 0
37 5690 512 1904 0 512 0 0 1 0
38 5673 512 1953 0 512 0 0 1 0
39 5656 512 2003 0 512 0 0 1 0
40 5638 512 2052 0 512 0 0 1 0
41 5620 512 2101 0 512 0 0 1 0
42 5601 512 2150 0 512 0 0 1 0
43 5583 512 2199 0 512 0 0 1 0
44 5563 512 2248 0 512 0 0 1 0
45 5543 512 2296 0 512 0 0 1 0
46 5523 512 2344 0 512 0 0 1 0
47 5502 512 2392 0 512 0 0 1 0
48 5481 512 2440 0 512 0 0 1 0
49 5460 512 2488 0 512 0 0 1 0
50 5438 512 2536 0 512 0 0 1 0
51 5416 512 2583 0 512 0 0 1 0
52 5393 512 2630 0 512 0 0 1 0
53 5370 512 2677 0 512 0 0 1 0
54 5346 512 2724 0 512 0 0 1 0
55 5322 512 2770 0 512 0 0 1 0
56 5298 512 2817 0 512 0 0 1 0
